id;start_date;end_date;language
1;2023-10-28T08:42:25;2023-10-27T22:30:44;FRENCH
2;2023-10-27T23:36:40;2023-10-28T13:07:38;ENGLISH
3;2023-10-28T05:42:50;2023-10-28T06:23:06;ENGLISH
4;2023-10-28T12:02:31;2023-10-28T12:34:46;ENGLISH
5;2023-10-28T09:48:28;2023-10-28T01:26:27;SPANISH
6;2023-10-28T08:33:11;2023-10-27T20:57:15;FRENCH
7;2023-10-28T12:55:24;2023-10-27T23:32:49;ENGLISH
8;2023-10-27T18:58:58;2023-10-28T02:24:31;SPANISH
9;2023-10-27T21:21:05;2023-10-28T01:40:24;SPANISH
10;2023-10-28T11:08:00;2023-10-27T23:08:50;ENGLISH
