id;street_address;postal_code;city;state_province
1;haunting opposite vitro;owlishly;Fuengirola;when
2;pace inculcate complete;hopelessly;Torrelavega;frozen
3;stark lining;which lest dishonest;Talavera de la Reina;patriarch comprise bawl
4;discharge;wherever zowie;Viladecans;but
5;lest;plague till;San Cristróbal de la Laguna;hurl vacantly chat
6;glen spry;second;Pontevedra;ouch dissemination
7;grab-bag muffle;gah more yahoo;Cornellá de Llobregat;smoggy
8;belfry;following;Benalmádena;plus if
9;phew doubt until;wren after;Gerona;whose sympathetically harp
10;daily;including seemingly pish;El Ejido;huzzah
