id;codigo;nombre;descripcion;peso;tipo
1;parlay unnaturally;standard boo wary;../fake-data/blob/hipster.txt;15704.9;IMPRESION_PARTICULAR
2;sunny triumphantly pish;person;../fake-data/blob/hipster.txt;13296.7;MERCHANDISE
3;geez astride dash;unless phew;../fake-data/blob/hipster.txt;4070.23;MERCHANDISE
4;uncurl unbutton;incidentally geez pace;../fake-data/blob/hipster.txt;3955.11;IMPRESION_PARTICULAR
5;when now;powerfully alter than;../fake-data/blob/hipster.txt;5325.01;MERCHANDISE
6;whose;even;../fake-data/blob/hipster.txt;23061.61;IMPRESION_PARTICULAR
7;meet clap bedevil;boo;../fake-data/blob/hipster.txt;31373.46;MERCHANDISE
8;minor ferociously though;obedient;../fake-data/blob/hipster.txt;1345.18;IMPRESION_PARTICULAR
9;consume inasmuch hmph;knowledgeably astride whether;../fake-data/blob/hipster.txt;19486.89;IMPRESION_PARTICULAR
10;flimsy trivialize;domain;../fake-data/blob/hipster.txt;29047.98;IMPRESION_PARTICULAR
